title,year,domestic_gross,foreign_gross
clash of the titans,2010,163214888,330000000
trolls,2016,153707064,190443070
trolls,2016,153707064,190443070
prometheus,2012,126477084,275971181
the bourne legacy,2012,113203870,167152050
skyscraper,2018,68420120,235695414
total recall,2012,58877969,152978119
monster trucks,2017,33370166,28272632
jason bourne,2016,162192920,253975396
life of pi,2012,124987022,495924981
rampage,2018,101028233,327028047
elysium,2013,93050117,193141974
oblivion,2013,89107235,198809398
power rangers,2017,85364450,57167102
robocop,2014,58607007,184374792
fantastic four,2015,56117548,111731639
knight and day,2010,76423035,182328335
venom,2018,213511408,640117197
the wolverine,2013,132556852,283900000
gullivers travels,2010,42779261,189238587
ferdinand,2017,84410380,205437550
ferdinand,2017,84410380,205437550
deadpool 2,2018,324591735,462088822
gravity,2013,274092705,419605968
san andreas,2015,155190832,301067707
the smurfs,2011,142614158,421135165
300 rise of an empire,2014,106580051,224200000
passengers,2016,100014699,202224973
passengers,2016,100014699,202224973
the green hornet,2011,98780042,130375461
real steel,2011,85463309,178417032
the ateam,2010,77222099,100019072
the smurfs 2,2013,71017784,277529739
enders game,2013,61737191,66246092
ghost in the shell,2017,40563557,127347133
the martian,2015,228433663,426837780
the martian,2015,228433663,426837780
allied,2016,40098064,79168597
allied,2016,40098064,79168597
ice age collision course,2016,64063008,338093674
kingsman the golden circle,2017,100234838,308568858
a wrinkle in time,2018,100478608,32923274
bumblebee,2018,127195589,338000000
cloud atlas,2012,27108272,103564882
django unchained,2012,162805434,287142889
little fockers,2010,148438600,162211974
the other guys,2010,119219978,51716492
the wolf of wall street,2013,116900694,272969720
epic,2013,107518682,155275759
the expendables 2,2012,85028192,226951064
hercules,2014,72688614,170700000
the tourist,2010,67631157,211100212
legend of the guardians the owls of gahoole,2010,55675313,84041404
the expendables 3,2014,39322544,170138834
green zone,2010,35497337,62025683
geostorm,2017,33700160,187095849
geostorm,2017,33700160,187095849
point break,2015,28782481,97922110
in the heart of the sea,2015,25020758,64672551
in the heart of the sea,2015,25020758,64672551
transcendence,2014,23022309,80016949
mortal engines,2018,15951040,69336377
the peanuts movie,2015,130178411,119913199
the peanuts movie,2015,130178411,119913199
robin hood,2018,30824628,53922813
alien covenant,2017,74262031,164259216
cinderella,2015,201151353,333400000
ice age continental drift,2012,161321843,718443294
sex and the city 2,2010,95347692,199333086
percy jackson  the olympians the lightning thief,2010,88768303,134282571
the campaign,2012,86907746,18000000
unstoppable,2010,81562942,84157979
benhur,2016,26410477,65259171
seventh son,2015,17725785,91149182
kingsman the secret service,2015,128261724,276300000
kingsman the secret service,2015,128261724,276300000
rise of the planet of the apes,2011,176760185,294226015
a good day to die hard,2013,67349198,236900000
the secret life of walter mitty,2013,58236838,129624345
jumanji welcome to the jungle,2017,404508916,559987277
jumanji welcome to the jungle,2017,404508916,559987277
rio,2011,143619809,343900000
the girl with the dragon tattoo,2011,102515793,136858177
the magnificent seven,2016,93432655,69092501
alvin and the chipmunks the road chip,2015,85886987,163630969
pixels,2015,78765986,165275818
percy jackson sea of monsters,2013,68559554,132300000
now you see me 2,2016,65075540,263249467
tomb raider,2018,58250803,215226698
conan the barbarian,2011,21295021,42061112
the three musketeers,2011,20377913,119500000
the promise,2017,8224288,2327129
the promise,2017,8224288,2327129
the nutcracker in 3d,2010,195459,20270557
bright,2017,0,0
the predator,2018,51024708,108462855
divergent,2014,150947895,125067070
hotel transylvania,2012,148313048,230192764
safe house,2012,126181630,82360532
tower heist,2011,78046570,72376376
mirror mirror,2012,64935167,108678315
arthur christmas,2011,46462469,103254655
xxx return of xander cage,2017,44898413,300134946
cats  dogs the revenge of kitty galore,2010,43585753,69440630
the greatest showman,2017,174340174,212325376
the greatest showman,2017,174340174,212325376
red 2,2013,53262560,88244795
the expendables,2010,103068524,165199650
the hunger games,2012,408010692,269912687
the hangover part ii,2011,254464305,332000000
the lego batman movie,2017,175750384,134909634
hotel transylvania 2,2015,169700110,299800188
grown ups 2,2013,133668525,113355283
alvin and the chipmunks chipwrecked,2011,133107389,215981134
shutter island,2010,128012934,171448848
yogi bear,2010,100246011,104528679
the book of eli,2010,94835059,63915758
fury,2014,85817906,124497775
smallfoot,2018,83240103,130451174
zookeeper,2011,80360866,90444659
walking with dinosaurs,2013,36076121,87292721
the last witch hunter,2015,27367660,103451252
the last witch hunter,2015,27367660,103451252
pompeii,2014,23169033,85300000
oceans,2010,19422319,67365211
journey 2 the mysterious island,2012,103860290,214285872
jack and jill,2011,74158157,76361060
cloudy with a chance of meatballs 2,2013,119793567,154599082
the little prince,2016,1311213,100717706
the equalizer 2,2018,102084362,88368770
despicable me 2,2013,368065385,607151450
the secret life of pets,2016,368384330,518366204
sing,2016,270329045,364125744
sing,2016,270329045,364125744
despicable me 3,2017,264624300,770103450
grown ups,2010,162001186,110222244
now you see me,2013,117723989,225045211
christopher robin,2018,99215042,98289716
immortals,2011,83504017,128058418
killers,2010,47059963,48512786
sucker punch,2011,36392502,53365887
inferno,2016,34343574,185175793
inferno,2016,34343574,185175793
minions,2015,336045770,824290403
the spongebob movie sponge out of water,2015,162994032,148019149
the angry birds movie,2016,107509366,244818521
olympus has fallen,2013,98927592,73951336
battle los angeles,2011,83552429,129911547
war horse,2011,79883359,76932170
the monuments men,2014,78031620,80671128
storks,2016,72679278,110674153
underworld awakening,2012,62321039,98058891
the lego ninjago movie,2017,59281555,63455646
dracula untold,2014,55991880,164249843
the dilemma,2011,48475290,22071575
rock of ages,2012,38518613,22513319
the finest hours,2016,27569558,21683203
escape plan,2013,25135965,78600000
killer elite,2011,25124986,40284060
the legend of hercules,2014,18848538,40104781
blackhat,2015,8005980,11659024
despicable me,2010,251513985,291950588
dinner for schmucks,2010,73026337,13770165
red sparrow,2018,46874505,99077356
the twilight saga eclipse,2010,300531751,405571077
ted 2,2015,81476385,135737758
hall pass,2011,45060734,42112741
downsizing,2017,24449754,30013217
downsizing,2017,24449754,30013217
abraham lincoln vampire hunter,2012,37519139,99970591
need for speed,2014,43568507,150601112
lincoln,2012,182207973,91138308
hotel transylvania 3 summer vacation,2018,167500092,359579870
unbroken,2014,115637895,47889929
due date,2010,100539043,111200000
annie,2014,85911262,53918363
the dictator,2012,59650222,120498675
this means war,2012,54760791,102213766
focus,2015,53862963,114202737
red dawn,2012,44806783,3357367
everest,2015,43482270,177814791
everest,2015,43482270,177814791
resident evil retribution,2012,42345531,198302098
i frankenstein,2014,19075290,55500000
sin city a dame to kill for,2014,13757804,26893038
live by night,2016,10378555,11395877
live by night,2016,10378555,11395877
air strike,2018,0,516279
hop,2011,108085305,80572288
american assassin,2017,36249674,32060466
the hateful eight,2015,54117416,93747470
the hateful eight,2015,54117416,93747470
gone girl,2014,167767189,200800000
maze runner the scorch trials,2015,81697192,228868970
2 guns,2013,75612460,56880555
maze runner the death cure,2018,58032443,207846093
the lego movie,2014,257784718,199944670
sully,2016,125070033,113454523
eat pray love,2010,80574010,126024779
jack reacher,2012,80070736,137300000
contagion,2011,75658097,61893497
london has fallen,2016,62524260,132669825
jack reacher never go back,2016,58697076,101249413
jack reacher never go back,2016,58697076,101249413
baywatch,2017,58060186,117803597
joy,2015,56451232,44682827
paranorman,2012,56003051,52116611
the boxtrolls,2014,50837305,61108946
the dark tower,2017,50701325,62760202
jack ryan shadow recruit,2014,50577412,80800000
vice,2018,47836282,23046889
gangster squad,2013,46000903,58100000
smurfs the lost village,2017,45020282,152558304
first man,2018,44936545,60267280
edge of darkness,2010,43313890,39498566
trouble with the curve,2012,35763137,12055776
the mortal instruments city of bones,2013,31165421,44800146
priest,2011,29136626,55017400
rock dog,2017,9420546,14727942
mortdecai,2015,7696134,22700000
the ridiculous 6,2015,0,0
sherlock gnomes,2018,43242871,44284780
deadpool,2016,363070709,437954884
american sniper,2014,350126372,197200000
american sniper,2014,350126372,197200000
goosebumps,2015,80069458,78835866
goosebumps,2015,80069458,78835866
red tails,2012,49876377,489121
the internship,2013,44672764,49000000
life,2017,30234022,70695644
resident evil afterlife,2010,60128566,235745624
thats my boy,2012,36931089,21154146
into the woods,2014,128002372,85114029
bohemian rhapsody,2018,216303339,678682003
fifty shades darker,2017,114434010,266964482
captain phillips,2013,107136417,113511767
murder on the orient express,2017,102826543,243096187
murder on the orient express,2017,102826543,243096187
the equalizer,2014,101530738,91372886
fifty shades freed,2018,100407760,270942859
date night,2010,98711404,53557629
paddington,2015,76223578,182565519
free birds,2013,55750480,54636592
muppets most wanted,2014,51178893,28133408
kubo and the two strings,2016,48023088,29525034
burlesque,2010,39440655,51112020
the watch,2012,34353000,32777045
annihilation,2018,32732301,10338614
crimson peak,2015,31090320,43876534
crimson peak,2015,31090320,43876534
bullet to the head,2013,9489829,13108140
black mass,2015,62575678,36262194
zero dark thirty,2012,95720716,38891719
valentines day,2010,110485654,107083674
the changeup,2011,37243418,38753649
alpha,2018,35851379,63773494
the adjustment bureau,2011,62495645,64435680
ted,2012,218665740,337350887
22 jump street,2014,191719337,139614539
central intelligence,2016,127440871,89753934
anchorman 2 the legend continues,2013,127352707,44833047
super 8,2011,127004179,130968566
creed ii,2018,115715889,97875633
peter rabbit,2018,115234093,231902384
the mule,2018,103804407,67053269
nonstop,2014,91742160,130640895
the emoji movie,2017,86089513,130472799
the post,2017,81903458,97845422
the post,2017,81903458,97845422
we bought a zoo,2011,75624550,43104523
moneyball,2011,75605492,35695343
american reunion,2012,56758835,180040376
hansel  gretel witch hunters,2013,55703475,159246241
13 hours the secret soldiers of benghazi,2016,52853219,16558151
american made,2017,51342000,84227212
american made,2017,51342000,84227212
the book of life,2014,50151543,47500000
into the storm,2014,47602194,102827177
the judge,2014,47119388,29000000
war dogs,2016,43034523,43199980
the nice guys,2016,36261763,23334984
marmaduke,2010,33644788,56251142
hereafter,2010,32746941,75913329
zoolander 2,2016,28848693,26500000
the host,2013,26623701,37853350
run all night,2015,26461644,40500000
your highness,2011,21596445,4525193
snowden,2016,21587519,13793399
dream house,2011,21302340,20339826
free state of jones,2016,20810036,2427216
beautiful creatures,2013,19452138,40830738
drive angry,2011,10721033,30321550
early man,2018,8267544,37018346
child 44,2015,1224330,6779891
upside down,2013,102118,26284921
chappie,2015,31569268,73432788
anna karenina,2012,12816367,58188260
taken 3,2015,89256424,238400000
instant family,2018,67363237,52372951
tooth fairy,2010,60022256,52588130
the infiltrator,2016,15436808,5281296
arrival,2016,100546139,102581755
arrival,2016,100546139,102581755
jonah hex,2010,10547117,475579
silence,2016,7100177,16626449
silence,2016,7100177,16626449
prisoners,2013,61002302,52400000
taken 2,2012,139854287,237953117
pitch perfect 3,2017,104897530,80838882
pitch perfect 3,2017,104897530,80838882
the muppets,2011,88625922,72346000
the girl on the train,2016,75395035,98883179
the girl on the train,2016,75395035,98883179
the bounty hunter,2010,67061228,68747609
office christmas party,2016,54767494,36555805
savages,2012,47323100,35190390
blended,2014,46290741,81700000
all eyez on me,2017,44922302,9954553
the ghost writer,2010,15541549,49990942
dredd,2012,13414714,28052892
the rum diary,2011,13109815,8434917
welcome to marwen,2018,10763520,2111402
johnny english reborn,2011,8406711,156233690
argo,2012,136025503,91115254
charlie st cloud,2010,31206263,17271821
the interview,2014,6105175,6237457
the heat,2013,159581587,70146187
the mechanic,2011,29121498,47225895
21 jump street,2012,138447667,64364762
snatched,2017,45852178,11999999
here comes the boom,2012,45290318,27948940
red riding hood,2011,37662162,54016280
holmes  watson,2018,30568743,11357862
one for the money,2012,26414527,9782694
man on a ledge,2012,18620000,31001440
the warriors way,2010,5666340,2847985
the big year,2011,7204138,480386
the karate kid,2010,176591618,175183320
fifty shades of grey,2015,166167230,404830871
american hustle,2013,150117807,107760487
american hustle,2013,150117807,107760487
lucy,2014,126573960,330933816
lone survivor,2013,125095601,24709031
the social network,2010,96962694,127959441
ride along 2,2016,90862685,33964631
get hard,2015,90411453,16100000
the accountant,2016,86260045,66702038
the accountant,2016,86260045,66702038
dumb and dumber to,2014,86208010,70345582
the other woman,2014,83911193,111200000
the intern,2015,75764672,121351038
bridge of spies,2015,72313754,90184584
bridge of spies,2015,72313754,90184584
hacksaw ridge,2016,67209615,101695067
hacksaw ridge,2016,67209615,101695067
unknown,2011,63686397,72436686
get him to the greek,2010,61153526,30302349
the lincoln lawyer,2011,58009200,29135886
horrible bosses 2,2014,54445357,51500000
predators,2010,52000688,75233701
the odd life of timothy green,2012,51853450,3395709
jersey boys,2014,47047013,18235719
final destination 5,2011,42587643,112423522
widows,2018,42402632,31463456
sex tape,2014,38543473,87526036
scream 4,2011,38180928,57808662
paul,2011,37412945,63749161
the guilt trip,2012,37134215,4160459
colombiana,2011,36665854,35629408
the commuter,2018,36343858,65641573
arthur,2011,33035397,14752546
patriots day,2016,31886361,20951628
patriots day,2016,31886361,20951628
morning glory,2010,31011732,28783338
grudge match,2013,29807260,40000000
the nut job 2 nutty by nature,2017,28370522,29067867
resident evil the final chapter,2017,26844692,287256498
the house,2017,25584504,5607921
season of the witch,2011,24827228,66299372
mechanic resurrection,2016,21218403,88520437
big miracle,2012,20157300,5111380
a thousand words,2012,18450127,2340359
the gunman,2015,10664749,7929478
paranoia,2013,7388654,8952113
the hurricane heist,2018,6115824,24847860
victor frankenstein,2015,5775076,25349291
victor frankenstein,2015,5775076,25349291
snowpiercer,2014,4563029,83506851
frankenweenie,2012,35287788,45863000
captain underpants the first epic movie,2017,73921000,52656874
paul blart mall cop 2,2015,71091594,36559052
why him,2016,60323786,57101370
why him,2016,60323786,57101370
water for elephants,2011,58709717,58100000
riddick,2013,42025135,52738623
the 5th wave,2016,34912982,76423416
rush,2013,26947624,71283215
only the brave,2017,18340051,6215126
the thing,2011,16999934,10573144
the sisters brothers,2018,3143056,10000000
what to expect when youre expecting,2012,41152203,47320813
the master,2012,16247159,34400257
were the millers,2013,150394119,117422157
creed,2015,109767581,63800000
creed,2015,109767581,63800000
the town,2010,92186262,60380619
dolphin tale,2011,72286779,23781945
game night,2018,69179066,48199018
cop out,2010,44875481,11034429
the rite,2011,33047633,64096354
aloha,2015,21052030,4335061
hot tub time machine,2010,50269859,15697891
dolphin tale 2,2014,42024533,15800000
collateral beauty,2016,31016021,54293072
collateral beauty,2016,31016021,54293072
there be dragons,2011,1069334,2951656
it,2017,327481748,369976221
it,2017,327481748,369976221
true grit,2010,171243005,81033923
identity thief,2013,134506920,40854658
horrible bosses,2011,117538559,94879042
trainwreck,2015,110212700,30911197
saving mr banks,2013,83299761,31662764
a nightmare on elm street,2010,63075011,54654610
secretariat,2010,59699513,676734
friends with benefits,2011,55802754,90793137
neighbors 2 sorority rising,2016,55340730,53416891
sicario day of the soldado,2018,50065850,25819346
poltergeist,2015,47425125,48287944
goosebumps 2 haunted halloween,2018,46697321,46594157
12 strong,2018,45819713,25298665
something borrowed,2011,39046489,26037627
in time,2011,37553932,127550020
j edgar,2011,37306030,47300000
mile 22,2018,36108758,30186363
hot pursuit,2015,34580201,11091311
concussion,2015,34531832,15831958
the foreigner,2017,34393507,106389853
the foreigner,2017,34393507,106389853
adrift,2018,31445011,26452180
underworld blood wars,2017,30353973,50855249
nanny mcphee and the big bang,2010,29197642,68602223
abduction,2011,28087155,58561204
alex cross,2012,25888412,9538347
whiskey tango foxtrot,2016,23083334,2267413
hitman agent 47,2015,22467450,59715353
premium rush,2012,20275446,11117755
broken city,2013,19701164,14778881
furry vengeance,2010,17630465,21709712
parker,2013,17616641,30926747
the tree of life,2011,13305665,48416161
sabotage,2014,10508518,7867925
unfinished business,2015,10219501,2994550
the walk,2015,10161183,51330921
mandela long walk to freedom,2013,8323085,21567317
the snowman,2017,6670765,36555381
a hologram for the king,2016,4212494,7633516
stolen,2012,289773,17677973
trespass,2011,16816,769716
the lovers,2015,0,53899
the darkest hour,2011,21443494,41388221
baby driver,2017,107825862,120278323
the maze runner,2014,102427862,245891999
the longest ride,2015,37446117,26356811
the darkest minds,2018,12695691,25665737
mike and dave need wedding dates,2016,46009673,29888427
step up revolution,2012,35074677,130477613
safe,2012,17142080,24353133
freaks of nature,2015,70958,0
freaks of nature,2015,70958,0
bridesmaids,2011,169211718,120420305
the big wedding,2013,21819348,26606623
wanderlust,2012,17288155,6871779
takers,2010,57744720,12842548
source code,2011,54712227,85716272
i feel pretty,2018,48795601,42758196
big mommas like father like son,2011,37915414,44417036
the incredible burt wonderstone,2013,22537881,4854728
bad times at the el royale,2018,17839115,11365264
going the distance,2010,17804299,25799691
repo men,2010,13942007,4253231
criminal,2016,14708696,24062566
42,2013,95020213,2450488
flight,2012,93772375,66786063
the grand budapest hotel,2014,59076019,104905242
vacation,2015,58884188,43422312
extraordinary measures,2010,12482741,3344243
birth of the dragon,2017,6901965,318525
crazy rich asians,2018,174532921,63566790
the vow,2012,125014030,72604130
sisters,2015,87044645,18986015
looper,2012,66486205,103980200
warm bodies,2013,66380662,48740946
the nut job,2014,64251538,58278428
hope springs,2012,63536011,69549284
midnight in paris,2011,56816662,105686112
darkest hour,2017,56443120,94364052
darkest hour,2017,56443120,94364052
life of the party,2018,53059911,12700000
letters to juliet,2010,53032453,29116085
southpaw,2015,52421953,41734503
atomic blonde,2017,51573925,46771498
sicario,2015,46889293,37504456
sicario,2015,46889293,37504456
den of thieves,2018,44947622,35183769
the three stooges,2012,44338224,9714025
john wick,2014,43037835,33197166
the age of adaline,2015,42629776,26354760
step up 3d,2010,42400223,123488894
the cabin in the woods,2012,42073277,28616691
the cabin in the woods,2012,42073277,28616691
hanna,2011,40259119,25084575
the family,2013,36918811,14159730
the 1517 to paris,2018,36276286,19819914
larry crowne,2011,35608245,25840890
carrie,2013,35266619,47142901
death wish,2018,34017028,14558937
entourage,2015,32363404,14075134
side effects,2013,32172757,34569381
side effects,2013,32172757,34569381
deliver us from evil,2014,30577122,57379496
get on up,2014,30569935,2769933
the fiveyear engagement,2012,28700285,32923534
winnie the pooh,2011,26692846,23452761
white boy rick,2018,24004833,1943150
sanctum,2011,23209310,85747788
ballerina,2017,21858070,75034759
ballerina,2017,21858070,75034759
the next three days,2010,21148651,46107265
proud mary,2018,20868638,840901
runner runner,2013,19316646,41196034
baahubali 2 the conclusion,2017,18985794,244517120
fright night,2011,18298649,22222000
mother,2017,17800004,24731072
steve jobs,2015,17766658,17812349
steve jobs,2015,17766658,17812349
the last stand,2013,12050299,36280458
dead man down,2013,10895295,8704679
the lost city of z,2017,8574339,8547484
the lost city of z,2017,8574339,8547484
the space between us,2017,7885294,8596111
barneys version,2011,7502560,1343015
barneys version,2011,7502560,1343015
kin,2018,5718096,4378725
stronger,2017,4211129,4575623
machine gun preacher,2011,538690,3183298
bilal a new breed of hero,2018,490973,157626
wild card,2015,3200,4312589
united passions,2015,918,167914
konferenz der tiere,2010,0,53048539
collide,2017,2280004,3186694
pitch perfect 2,2015,184296230,103329238
night school,2018,77339130,25669662
the boss,2016,63077560,15574647
logan lucky,2017,27778642,16485629
florence foster jenkins,2016,27383770,28616569
straight outta compton,2015,161197785,40985196
straight outta compton,2015,161197785,40985196
girls trip,2017,115108515,25777838
a bad moms christmas,2017,72110659,55599891
a bad moms christmas,2017,72110659,55599891
safe haven,2013,71399120,22651831
the big short,2015,70259870,62902882
alexander and the terrible horrible no good very bad day,2014,66954149,34425138
last vegas,2013,63914167,49000000
tag,2018,54730625,22295561
kickass,2010,48071303,49459831
30 minutes or less,2011,37053924,3912792
3 days to kill,2014,30697999,8261901
kickass 2,2013,28795985,34333924
a walk among the tombstones,2014,26017685,36090902
the spy next door,2010,24307106,22445752
brick mansions,2014,20396829,53024395
american ultra,2015,14439985,15855043
pride and prejudice and zombies,2016,10907291,5731009
joyful noise,2012,30932113,225801
anonymous,2011,4463292,11352217
limitless,2011,79249455,76315464
money monster,2016,41012075,52454020
spy kids all the time in the world,2011,38536376,42144807
pain  gain,2013,49875291,31400000
legion,2010,40168080,27479494
lawless,2012,37397291,16996396
the best of me,2014,26766213,14293205
the raven,2012,16008272,14593529
the fifth estate,2013,3254172,2900000
blood ties,2014,42472,2881487
accidental love,2015,0,135436
the face of an angel,2015,0,0
the help,2011,169705587,43414417
hidden figures,2016,169607287,62164429
hidden figures,2016,169607287,62164429
ride along,2014,134202565,19531235
dear john,2010,80014842,62018667
parental guidance,2012,77267296,43565087
no strings attached,2011,70662220,78565858
contraband,2012,66528000,31878855
the lucky one,2012,60457138,36176695
madeas big happy family,2011,53345287,815531
the grey,2012,51580136,29669040
the grey,2012,51580136,29669040
the giver,2014,45090374,21449831
the night before,2015,43035725,9391621
the night before,2015,43035725,9391621
august osage county,2013,37738810,13000000
august osage county,2013,37738810,13000000
million dollar arm,2014,36447959,2769953
peppermint,2018,35418723,16382035
the gambler,2014,33680992,5037039
fist fight,2017,32187017,8099399
the sitter,2011,30542576,8206828
draft day,2014,28842237,1005243
rings,2017,27793018,55124265
the losers,2010,23591432,6272408
the eagle,2011,19490041,19503507
shark night 3d,2011,18877153,0
chips,2017,18600152,4590140
father figures,2017,17501244,3537197
father figures,2017,17501244,3537197
the counselor,2013,16973715,54035619
mary queen of scots,2018,16468499,30266234
my soul to take,2010,14744435,1983035
warrior,2011,13657115,10558270
battle of the sexes,2017,12638526,5806853
battle of the sexes,2017,12638526,5806853
cirque du soleil worlds away,2012,12512862,15500000
the 33,2015,12227722,16172993
the conspirator,2011,11538204,4369207
straw dogs,2011,10324441,929380
beautiful boy,2018,7634767,5396657
sgt stubby an american hero,2018,3054285,591672
carnage,2011,2546747,35565407
tulip fever,2017,2455635,4337133
