title,year,domestic_gross,foreign_gross
brave,2012,237282182,317324350
breaking in,2018,46840590,4571030
brick mansions,2014,20396829,53024395
bridesmaids,2011,169211718,120420305
bridge of spies,2015,72313754,90184584
bright,2017,0,0
brighton rock,2011,229653,0
broken city,2013,19701164,14778881
broken horses,2015,0,3471
brooklyn,2015,38322743,23753398
brotherly love,2015,478595,0
bucky larson born to be a star,2011,2529395,0
bullet to the head,2013,9489829,13108140
bumblebee,2018,127195589,338000000
buried,2010,1044143,20226147
burlesque,2010,39440655,51112020
burn,2012,1109276,0
burnt,2015,13651946,23121564
butterfly,2010,0,0
by the sea,2015,538460,3189286
cah,2010,46488,0
camp xray,2014,9837,91216
can you ever forgive me,2018,8803865,2948522
captain america civil war,2016,408084349,731985064
captain america the first avenger,2011,176654505,193915271
captain america the winter soldier,2014,259746958,454654931
captain phillips,2013,107136417,113511767
captain underpants the first epic movie,2017,73921000,52656874
captive,2015,2583301,208672
cargo,2011,0,313230
carlos,2010,145526,1473627
carnage,2011,2546747,35565407
carol,2015,12711491,30132030
carrie,2013,35266619,47142901
cars 2,2011,191450875,368704508
cars 3,2017,152901115,230640254
casino jack,2010,2039869,232317
cats  dogs the revenge of kitty galore,2010,43585753,69440630
cedar rapids,2011,6861102,1001029
central intelligence,2016,127440871,89753934
centurion,2010,123570,7761478
chain letter,2010,205842,816611
chain of command,2015,0,0
chappie,2015,31569268,73432788
charlie st cloud,2010,31206263,17271821
chasing mavericks,2012,6002756,2298065
checkmate,2015,0,0
chemical cut,2016,0,0
chernobyl diaries,2012,18119640,24292081
child 44,2015,1224330,6779891
childless,2015,1036,0
chips,2017,18600152,4590140
chloe,2010,3075255,8755876
christmas mail,2010,0,0
christopher robin,2018,99215042,98289716
chronicle,2012,64575175,59106615
churchill,2017,1279681,6302515
cinderella,2015,201151353,333400000
circle,2010,10024,0
circumstance,2011,454121,504857
cirque du soleil worlds away,2012,12512862,15500000
clash of the titans,2010,163214888,330000000
close range,2015,0,0
cloud atlas,2012,27108272,103564882
cloudy with a chance of meatballs 2,2013,119793567,154599082
coco,2017,209726015,588282086
code of honor,2016,0,0
coffee town,2013,0,0
collateral beauty,2016,31016021,54293072
collide,2017,2280004,3186694
colombiana,2011,36665854,35629408
columbus,2017,1017107,93404
compadres,2016,3127773,4317271
compliance,2012,319285,511415
conan the barbarian,2011,21295021,42061112
concussion,2015,34531832,15831958
contagion,2011,75658097,61893497
contraband,2012,66528000,31878855
conviction,2010,6797696,5029284
cop car,2015,134552,9106
cop out,2010,44875481,11034429
coriolanus,2012,749641,1429982
counting,2015,8374,0
country strong,2010,20218921,383066
courageous,2011,34522221,663663
crazy rich asians,2018,174532921,63566790
creative control,2016,63014,0
creature,2011,331000,0
creed,2015,109767581,63800000
creed ii,2018,115715889,97875633
criminal,2016,14708696,24062566
criminal activities,2015,0,386744
crimson peak,2015,31090320,43876534
crowsnest,2012,0,0
cyrus,2010,7468936,2593960
dallas buyers club,2013,27298285,33313560
damsels in distress,2012,1007535,316764
dancin its on,2015,0,0
danny collins,2015,5637066,2828779
dark shadows,2012,79727149,158475519
dark skies,2013,17418667,10285444
darkest hour,2017,56443120,94364052
darling companion,2012,793352,406994
date night,2010,98711404,53557629
dawn of the planet of the apes,2014,208545589,502098977
dawn patrol,2015,0,0
dead man down,2013,10895295,8704679
deadfall,2012,66351,1607284
deadpool,2016,363070709,437954884
deadpool 2,2018,324591735,462088822
dear john,2010,80014842,62018667
dear white people,2014,4404154,999617
death at a funeral,2010,42739347,6237886
death wish,2018,34017028,14558937
deepwater horizon,2016,61433527,61170297
defendor,2010,44462,0
deliver us from evil,2014,30577122,57379496
delivery man,2013,30659817,39877053
den of thieves,2018,44947622,35183769
denial,2016,4073448,5190492
desert dancer,2015,155271,441064
despicable me,2010,251513985,291950588
despicable me 2,2013,368065385,607151450
despicable me 3,2017,264624300,770103450
destroyer,2018,1533324,2147772
devil,2010,33679655,29674459
devils due,2014,15821461,20324626
diary of a wimpy kid,2010,64003625,12950686
diary of a wimpy kid dog days,2012,49008662,28221033
diary of a wimpy kid rodrick rules,2011,52698535,20996659
diary of a wimpy kid the long haul,2017,20738724,14870853
dinner for schmucks,2010,73026337,13770165
dirty grandpa,2016,35593113,69485336
divergent,2014,150947895,125067070
django unchained,2012,162805434,287142889
do you believe,2015,12985600,1319331
doc hollidays revenge,2014,0,0
doctor strange,2016,232641920,443762646
dolphin tale,2011,72286779,23781945
dolphin tale 2,2014,42024533,15800000
dom hemingway,2014,523511,1333947
don jon,2013,24477704,16790875
dope,2015,17506470,684361
down and dangerous,2014,0,0
downsizing,2017,24449754,30013217
dracula untold,2014,55991880,164249843
draft day,2014,28842237,1005243
dream house,2011,21302340,20339826
dredd,2012,13414714,28052892
drinking buddies,2013,343706,63394
drive,2011,35060689,46297241
drive angry,2011,10721033,30321550
drive hard,2014,0,0
drones,2010,0,0
drunk wedding,2015,3301,0
due date,2010,100539043,111200000
dumb and dumber to,2014,86208010,70345582
dunkirk,2017,190068280,309769088
dwegons and leprechauns,2014,0,0
dying of the light,2014,0,74639
dylan dog dead of night,2011,1186538,4907187
dysfunctional friends,2012,0,0
early man,2018,8267544,37018346
earth to echo,2014,38934842,3239703
easy a,2010,58401464,17799257
eat pray love,2010,80574010,126024779
eddie the eagle,2016,15789389,29271091
eddie the sleepwalking cannibal,2013,1632,0
edge of darkness,2010,43313890,39498566
edge of tomorrow,2014,100206256,270335000
eighth grade,2018,13539710,801306
el secreto de sus ojos,2010,6391436,34136283
elle sappelait sarah,2011,7691700,17788331
elsa  fred,2014,67657,130244
elysium,2013,93050117,193141974
end of watch,2012,41003371,16583235
enders game,2013,61737191,66246092
endless love,2014,23438250,11279923
enough said,2013,17550872,8070577
enter the void,2010,337997,1129281
entourage,2015,32363404,14075134
epic,2013,107518682,155275759
escape from tomorrow,2013,171962,0
escape plan,2013,25135965,78600000
everest,2015,43482270,177814791
everything everything,2017,34121140,27481996
everything must go,2011,2712131,108879
evil dead,2013,54239856,43538500
ex machina,2015,25440971,12917421
exeter,2015,0,489792
exodus gods and kings,2014,65014513,203300000
extraordinary measures,2010,12482741,3344243
eye in the sky,2016,18704596,16698206
fahrenheit 119,2018,6352306,301409
falcon rising,2014,11774,0
fantastic beasts and where to find them,2016,234037575,568365278
fantastic beasts the crimes of grindelwald,2018,159555901,492664185
fantastic four,2015,56117548,111731639
fast five,2011,210031325,420132129
faster,2010,23240020,12552925
father figures,2017,17501244,3537197
fences,2016,57682904,6599977
ferdinand,2017,84410380,205437550
fifty shades darker,2017,114434010,266964482
fifty shades freed,2018,100407760,270942859
fifty shades of black,2016,11686940,10426135
fifty shades of grey,2015,166167230,404830871
fight valley,2016,0,0
filly brown,2013,2850357,90054
final destination 5,2011,42587643,112423522
finding dory,2016,486295561,534919632
fireflies in the garden,2011,36884,3550307
first man,2018,44936545,60267280
first reformed,2018,3448256,426516
fist fight,2017,32187017,8099399
flatliners,2017,16883115,28290623
flight,2012,93772375,66786063
flipped,2010,1755212,2534781
florence foster jenkins,2016,27383770,28616569
focus,2015,53862963,114202737
footloose,2011,51802742,11187092
for colored girls,2010,37729698,288175
for greater glory the true story of cristiada,2012,5669081,4357174
foreign letters,2012,0,0
forever my girl,2018,16376066,0
forsaken,2016,0,0
fort mccoy,2014,78948,0
four lions,2010,310007,2126104
frances ha,2013,4067398,7195371
frankenweenie,2012,35287788,45863000
freakonomics,2010,101270,71597
freaks of nature,2015,70958,0
free birds,2013,55750480,54636592
free fire,2017,1799322,1994417
free state of jones,2016,20810036,2427216
freeheld,2015,546201,1186027
friends with benefits,2011,55802754,90793137
fright night,2011,18298649,22222000
frontera,2014,59696,0
frozen,2013,400738009,871731901
fruitvale station,2013,16098998,1450647
fun size,2012,9409538,1757077
furious 7,2015,353007020,1165715774
furry vengeance,2010,17630465,21709712
fury,2014,85817906,124497775
game night,2018,69179066,48199018
gangster squad,2013,46000903,58100000
genius,2016,1361045,5904238
geostorm,2017,33700160,187095849
get hard,2015,90411453,16100000
get him to the greek,2010,61153526,30302349
get low,2010,9176933,1651372
get on up,2014,30569935,2769933
get out,2017,176040665,79327286
getaway,2013,10501938,1312051
ghost in the shell,2017,40563557,127347133
ghostbusters,2016,128350574,100658084
gi joe retaliation,2013,122523060,253217645
gifted,2017,24801212,12163444
girls gone dead,2012,0,0
girls trip,2017,115108515,25777838
gods of egypt,2016,31153464,107683292
godzilla,2014,200676069,328400000
going in style,2017,45018541,33654038
going the distance,2010,17804299,25799691
gone girl,2014,167767189,200800000
goosebumps,2015,80069458,78835866
goosebumps 2 haunted halloween,2018,46697321,46594157
gotti,2018,4286367,1802733
grabbers,2013,0,440821
grace unplugged,2013,2507159,0
grave encounters,2011,0,2151887
gravity,2013,274092705,419605968
greater,2016,2000093,0
green book,2018,85080171,236954268
green lantern,2011,116601172,102934320
green room,2016,3220371,587132
green zone,2010,35497337,62025683
griff the invisible,2011,20778,5157
grown ups,2010,162001186,110222244
grown ups 2,2013,133668525,113355283
grudge match,2013,29807260,40000000
guardians of the galaxy,2014,333172112,437695404
gullivers travels,2010,42779261,189238587
h,2014,0,0
hacksaw ridge,2016,67209615,101695067
hail caesar,2016,30080225,34080455
hall pass,2011,45060734,42112741
halloween,2018,159342015,95558652
hands of stone,2016,4712792,319183
hanna,2011,40259119,25084575
hansel  gretel witch hunters,2013,55703475,159246241
happy christmas,2014,30312,0
happy death day,2017,55683845,69326415
happy feet two,2011,64006466,93950000
hardcore henry,2016,9252038,7935396
hardflip,2012,96734,0
harry brown,2010,1818681,10204925
hayride,2012,0,0
hearts beat loud,2018,2386254,34708
heaven is for real,2014,91386097,9530202
heist,2015,50136,3273995
heli,2013,0,552614
hell fest,2018,11107431,7011800
hell or high water,2016,27007844,10576460
henry  me,2014,0,0
her cry la llorona investigation,2013,0,0
hercules,2014,72688614,170700000
here comes the boom,2012,45290318,27948940
hereafter,2010,32746941,75913329
hereditary,2018,44069456,26064449
hevi reissu,2018,10153,0
hidden figures,2016,169607287,62164429
high road,2012,0,0
higher ground,2011,841056,1637
higher power,2018,528,0
highway,2012,0,0
hit  run,2012,13749300,3467655
hitman agent 47,2015,22467450,59715353
hobo with a shotgun,2011,703372,131581
holmes  watson,2018,30568743,11357862
holy motors,2012,641054,3589372
home,2015,177397510,208600386
home again,2017,27020284,10316590
home run,2013,2859955,0
homefront,2013,20158492,31536870
hop,2011,108085305,80572288
hope springs,2012,63536011,69549284
horrible bosses,2011,117538559,94879042
horrible bosses 2,2014,54445357,51500000
horror,2015,0,0
hot pursuit,2015,34580201,11091311
hot tub time machine,2010,50269859,15697891
hot tub time machine 2,2015,12314651,511993
hotel artemis,2018,6708137,6050662
hotel transylvania,2012,148313048,230192764
hotel transylvania 2,2015,169700110,299800188
hotel transylvania 3 summer vacation,2018,167500092,359579870
house at the end of the drive,2014,0,0
house at the end of the street,2012,31611916,12492066
housebound,2014,0,236863
how to be a latin lover,2017,32149404,30406824
how to fall in love,2012,0,0
how to train your dragon,2010,217581232,277289760
how to train your dragon 2,2014,177002924,437583346
hugo,2011,73864507,106183277
hunt for the wilderpeople,2016,5205471,18640062
hush,2016,0,0
i am not your negro,2017,7123919,2493483
i am wrath,2016,0,309608
i can only imagine,2018,83482352,2121869
i dont know how she does it,2011,9659074,14815389
i feel pretty,2018,48795601,42758196
i frankenstein,2014,19075290,55500000
i origins,2014,336472,515927
i spit on your grave,2010,93051,1185420
i tonya,2017,30014534,23782875
i want your money,2010,433588,0
icarus,2010,0,0
ice age collision course,2016,64063008,338093674
ice age continental drift,2012,161321843,718443294
ida,2014,3827060,11471295
identity thief,2013,134506920,40854658
if beale street could talk,2018,14915773,4943394
if i stay,2014,50474843,27881327
immortals,2011,83504017,128058418
in dubious battle,2017,0,214182
in the heart of the sea,2015,25020758,64672551
in the name of the king iii,2014,0,0
in time,2011,37553932,127550020
incarnate,2016,4799774,4571262
incendies,2010,6857096,9181247
inception,2010,292576195,542948447
incredibles 2,2018,608581744,633938967
independence day resurgence,2016,103144286,281025138
independence daysaster,2013,0,0
indie game the movie,2012,0,0
indivisible,2018,3511417,76888
inescapable,2013,4327,0
infected,2012,0,0
inferno,2016,34343574,185175793
inside job,2010,4311834,3487423
inside llewyn davis,2013,13248209,19695038
inside out,2015,356461711,497774281
insidious,2011,54009150,45861736
insidious the last key,2018,67745330,100140258
instant family,2018,67363237,52372951
interstellar,2014,188017894,478361481
into the grizzly maze,2015,0,0
into the storm,2014,47602194,102827177
into the woods,2014,128002372,85114029
iron man 2,2010,312433331,308723058
iron man 3,2013,408992272,806400000
ironclad,2011,0,5297411
it,2017,327481748,369976221
it comes at night,2017,13985117,5735086
it follows,2015,14674077,8576678
its kind of a funny story,2010,6363628,269322
j edgar,2011,37306030,47300000
jack and jill,2011,74158157,76361060
jack reacher,2012,80070736,137300000
jack reacher never go back,2016,58697076,101249413
jack ryan shadow recruit,2014,50577412,80800000
jack the giant slayer,2013,65187603,132500000
jackass 3d,2010,117229692,54456101
jackass presents bad grandpa,2013,102003019,58900000
jackie,2016,13960394,22628118
jagten,2013,687185,17622608
jane got a gun,2016,1513793,2257552
jason bourne,2016,162192920,253975396
jem and the holograms,2015,2184640,184297
jersey boys,2014,47047013,18235719
jigsaw,2017,38052832,64392364
jobs,2013,16131410,27271105
joe,2014,373375,0
john carter,2012,73058679,209719421
john wick,2014,43037835,33197166
johnny english reborn,2011,8406711,156233690
jonah hex,2010,10547117,475579
journey 2 the mysterious island,2012,103860290,214285872
joy,2015,56451232,44682827
joyful noise,2012,30932113,225801
jumanji welcome to the jungle,2017,404508916,559987277
jumping the broom,2011,37295394,863207
jupiter ascending,2015,47482519,134500000
jurassic world,2015,652270625,996584239
jurassic world fallen kingdom,2018,417719760,888053039
just getting started,2017,6069605,686807
just wright,2010,21540363,327302
justice league,2017,229024295,426920914
justin bieber never say never,2011,73013910,26020215
katy perry part of me,2012,25326071,7374368
keanu,2016,20591853,96288
kevin hart laugh at my pain,2011,7706436,6000
kevin hart let me explain,2013,32244051,83204
kevin hart what now,2016,23591043,0
khiladi 786,2012,385422,14298341
khumba,2013,0,20898221
kickass,2010,48071303,49459831
kickass 2,2013,28795985,34333924
kicks,2016,150191,0
kidnap,2017,30718107,4117973
kill list,2012,29063,433143
kill the irishman,2011,1188194,0
kill the messenger,2014,2450846,4205859
killer elite,2011,25124986,40284060
killer joe,2012,1291645,3367465
killers,2010,47059963,48512786
killing them softly,2012,14945541,24292902
kin,2018,5718096,4378725
king arthur legend of the sword,2017,39175066,100455270
kingsman the golden circle,2017,100234838,308568858
kingsman the secret service,2015,128261724,276300000
kites,2010,1685269,15469924
knight and day,2010,76423035,182328335
knock knock,2015,36336,6292180
konferenz der tiere,2010,0,53048539
kong skull island,2017,168052812,393019247
krampus,2015,42725475,19062918
krisha,2016,144822,0
kubo and the two strings,2016,48023088,29525034
kung fu panda 2,2011,165249063,499588484
kung fu panda 3,2016,143528619,374070523
la chambre bleue,2014,260441,1684979
la grande bellezza,2013,2883879,26665266
la la land,2016,151101803,275249360
lady bird,2017,48958273,29652496
larry crowne,2011,35608245,25840890
last vegas,2013,63914167,49000000
lawless,2012,37397291,16996396
lbj,2017,2468683,38498
le havre,2011,611709,12868487
lean on pete,2018,1163056,1291971
leap year,2010,25918920,6700000
leaves of grass,2010,70066,15461
left behind,2014,14019924,6749285
legend,2015,1872994,40552456
legend of the guardians the owls of gahoole,2010,55675313,84041404
legion,2010,40168080,27479494
let me in,2010,12134935,16135464
let there be light,2017,7233471,7838
letters to god,2010,2848587,388865
letters to juliet,2010,53032453,29116085
lies in plain sight,2010,0,0
life,2017,30234022,70695644
life of pi,2012,124987022,495924981
life of the party,2018,53059911,12700000
lights out,2016,67268835,81537675
like crazy,2011,3395391,333009
lillusionniste,2010,2231474,6378475
limitless,2011,79249455,76315464
lincoln,2012,182207973,91138308
lion,2016,51739495,97831225
little boy,2015,6485961,11283338
little fockers,2010,148438600,162211974
live by night,2016,10378555,11395877
locke,2014,1370646,717744
locker 13,2014,3496,0
lockout,2012,14326865,19616184
logan,2017,226277068,389184326
logan lucky,2017,27778642,16485629
loin des hommes,2015,5336,1075092
lol,2012,0,10431506
london fields,2018,252676,181056
london has fallen,2016,62524260,132669825
lone survivor,2013,125095601,24709031
looper,2012,66486205,103980200
lost river,2015,45431,1964213
lottery ticket,2010,24719879,0
love ranch,2010,137885,8264
love simon,2018,40826341,24694292
love the coopers,2015,26302731,15924759
loving,2016,7710234,5187830
lowriders,2017,6179955,8466
lucky dog,2014,0,0
lucy,2014,126573960,330933816
macgruber,2010,8525600,104295
machete,2010,26593646,19777324
machete kills,2013,8008161,10264848
machine gun preacher,2011,538690,3183298
mad max fury road,2015,153636354,216461666
madagascar 3 europes most wanted,2012,216391482,530529789
made in dagenham,2010,1095369,14548827
madeas big happy family,2011,53345287,815531
maggie,2015,187112,840648
magic mike,2012,113721571,56828182
magic mike xxl,2015,66013057,57647540
maleficent,2014,241407328,517129407
mama,2013,71628180,76467386
man of steel,2013,291045518,376954000
man on a ledge,2012,18620000,31001440
manchester by the sea,2016,47695371,30038496
mandela long walk to freedom,2013,8323085,21567317
mandy,2018,1214525,213131
manglehorn,2015,132270,665169
maos last dancer,2010,4806750,21134687
margaret,2011,47185,576107
margin call,2011,5353586,15079641
marmaduke,2010,33644788,56251142
mars needs moms,2011,21392758,18157000
marshall,2017,10051659,65157
martha marcy may marlene,2011,2981038,2457873
mary poppins returns,2018,171958438,169570080
mary queen of scots,2018,16468499,30266234
max,2015,42656255,1001902
max steel,2016,3818664,744416
maze runner the death cure,2018,58032443,207846093
maze runner the scorch trials,2015,81697192,228868970
mcfarland usa,2015,44480275,1227649
me and earl and the dying girl,2015,6758416,2507764
me before you,2016,56245075,152020123
mechanic resurrection,2016,21218403,88520437
meet the blacks,2016,9097072,0
megamind,2010,148415853,173471355
melancholia,2011,3030848,18786450
men in black 3,2012,179020854,475192631
middle of nowhere,2012,236806,0
middle school the worst years of my life,2016,20007149,3304144
midnight in paris,2011,56816662,105686112
midnight special,2016,3712282,3967968
mike and dave need wedding dates,2016,46009673,29888427
mile 22,2018,36108758,30186363
million dollar arm,2014,36447959,2769953
minions,2015,336045770,824290403
miracles from heaven,2016,61705123,12093613
mirror mirror,2012,64935167,108678315
misconduct,2016,0,2352511
miss sloane,2016,3500605,4219025
moana,2016,248757044,388760321
money monster,2016,41012075,52454020
moneyball,2011,75605492,35695343
monster trucks,2017,33370166,28272632
monsters,2010,237301,5402429
monsters university,2013,268488329,475100000
monte carlo,2011,23186769,16500000
moonlight,2016,27854931,37390581
moonrise kingdom,2012,45512466,23335980
morgan,2016,3915251,3383535
morning glory,2010,31011732,28783338
mortal engines,2018,15951040,69336377
mortdecai,2015,7696134,22700000
mother,2017,17800004,24731072
movie 43,2013,8840453,22324294
mr peabody  sherman,2014,111506430,158300000
mr turner,2014,3958546,21228480
mud,2013,21590086,9966873
mune le gardien de la lune,2017,0,14534046
muppets most wanted,2014,51178893,28133408
murder on the orient express,2017,102826543,243096187
mustang,2015,845464,4707120
my big fat greek wedding 2,2016,59689605,32406953
my girlfriends boyfriend,2010,0,0
my soul to take,2010,14744435,1983035
my week with marilyn,2011,14597405,19643167
nanny mcphee and the big bang,2010,29197642,68602223
nebraska,2013,17654912,7106448
need for speed,2014,43568507,150601112
neighbors,2014,150086800,120857628
neighbors 2 sorority rising,2016,55340730,53416891
nerve,2016,38583626,32068658
never back down 2 the beatdown,2011,0,0
never let me go,2010,2434652,8739066
night at the museum secret of the tomb,2014,113746621,240010000
night school,2018,77339130,25669662
nightcrawler,2014,32381218,17953200
no escape,2015,27288872,15555644
no good deed,2014,52543632,1779578
no se aceptan devoluciones,2013,44467206,56019410
no strings attached,2011,70662220,78565858
noah,2014,101200044,251631021
nocturnal animals,2016,10663357,21735324
nonstop,2014,91742160,130640895
norm of the north,2016,17062499,13473161
not cool,2014,35688,0
now you see me,2013,117723989,225045211
now you see me 2,2016,65075540,263249467
nowhere boy,2010,1445366,6339863
nsecure,2010,2595644,0
o menino e o mundo,2015,129479,151488
oblivion,2013,89107235,198809398
obvious child,2014,3122616,201454
oceans,2010,19422319,67365211
oculus,2014,27695246,16420250
office christmas party,2016,54767494,36555805
olympus has fallen,2013,98927592,73951336
on the basis of sex,2018,24622687,13450690
one day,2011,13843771,45324921
one for the money,2012,26414527,9782694
only god forgives,2013,775849,3718711
only the brave,2017,18340051,6215126
open road,2013,0,47469
ouija,2014,50856010,52444622
ouija origin of evil,2016,35144505,46687361
our family wedding,2010,20255281,1155265
our idiot brother,2011,24814830,1046419
out of the furnace,2013,11330849,4103526
overboard,2018,50316123,35053707
oz the great and powerful,2013,234770996,255588055
pacific rim,2013,101802906,309200000
pacific rim uprising,2018,59874525,231055623
paddington,2015,76223578,182565519
pain  gain,2013,49875291,31400000
palo alto,2014,767732,388577
pan,2015,35088320,116437653
paper towns,2015,32000304,53450180
paranoia,2013,7388654,8952113
paranormal activity 2,2010,84752907,92759125
paranormal activity 3,2011,104028807,103011037
paranormal activity 4,2012,53900335,88917657
paranormal activity the ghost dimension,2015,18297124,59662250
paranormal activity the marked ones,2014,32462372,58442482
paranorman,2012,56003051,52116611
parental guidance,2012,77267296,43565087
parker,2013,17616641,30926747
parkland,2013,641439,974914
passengers,2016,100014699,202224973
paterson,2016,2141423,8586113
patriots day,2016,31886361,20951628
